"","time","iraq","barack.obama","afghanistan","new.york","california","gop","george.w.bush","wall.street","john.mccain","supreme.court","iran","china","mitt.romney","republican.party","texas","hillary.clinton","israel","middle.east","florida","tea.party","europe","bill.clinton","medicare","sarah.palin","washington.post","christian","democratic.party","russia","pakistan","ohio","vietnam","british","ronald.reagan","massachusetts","social.security","chicago","arizona","new.york.city","d.c.","reagan","pentagon","virginia","jewish","european","fox.news","world.war.ii","iowa","syria","pennsylvania"
"28","2007-01-28",8,0,0,2,0,1,0,0,1,1,0,3,0,2,1,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,4,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
"29","2007-01-29",13,4,1,5,2,0,0,0,2,1,3,1,0,0,1,3,1,0,1,0,2,2,0,0,4,4,1,0,0,0,2,2,1,0,0,4,0,0,0,1,0,1,0,1,0,0,3,0,1
"30","2007-01-30",14,0,1,4,0,0,0,1,1,1,1,1,0,0,3,1,0,2,0,0,0,1,0,0,2,4,0,0,0,0,2,1,0,0,1,0,0,0,2,0,2,1,0,0,0,1,0,3,0
"31","2007-02-01",8,2,1,5,2,2,0,0,1,0,6,0,2,0,3,1,0,2,0,0,0,0,4,0,2,0,2,0,0,0,4,2,0,2,0,0,2,0,0,2,0,1,0,0,2,0,0,1,0
"32","2007-02-02",17,6,1,7,1,1,0,0,0,3,9,2,2,1,0,3,4,2,0,0,3,1,3,0,1,0,2,0,1,1,2,2,0,1,0,2,0,0,0,0,0,0,0,3,0,1,3,0,1
"33","2007-02-03",6,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,0,0
"34","2007-02-04",3,1,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1
"35","2007-02-05",16,2,0,3,1,2,0,3,2,1,3,1,0,1,1,1,3,2,0,0,0,1,0,0,2,0,1,1,0,0,3,0,1,1,0,0,1,0,0,1,0,2,0,0,1,0,1,1,0
"36","2007-02-06",13,1,0,8,0,1,0,0,1,4,2,0,0,1,3,0,5,3,1,0,0,2,0,0,2,1,2,0,0,0,3,0,2,0,0,0,0,1,0,4,1,0,7,0,2,0,2,0,2
"37","2007-02-07",12,2,1,5,4,0,0,0,1,0,2,1,1,2,4,4,0,2,2,0,1,1,1,0,4,1,1,0,0,0,0,2,2,1,0,2,0,0,4,4,0,1,0,0,2,0,1,0,0
"38","2007-02-08",10,1,1,6,3,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"39","2007-02-09",13,1,1,7,0,2,0,0,0,1,6,4,0,0,0,2,2,1,0,0,1,1,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,3,0,0,0,1,0,1,0
"40","2007-02-10",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2007-02-11",7,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,3,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"42","2007-02-12",18,4,1,9,3,1,0,2,2,3,5,0,1,0,3,3,1,0,1,0,0,1,0,0,2,12,1,0,0,0,1,0,0,1,0,0,0,0,2,0,3,1,3,0,0,1,0,0,1
"43","2007-02-13",18,4,1,10,5,2,0,0,1,2,11,0,0,0,2,1,2,3,4,0,1,1,0,0,2,3,2,1,0,2,3,1,3,0,0,2,2,2,1,3,2,0,0,0,1,1,0,0,1
"44","2007-02-14",20,2,4,5,1,0,0,1,2,3,10,1,1,0,2,2,4,3,0,0,0,0,0,0,2,1,0,3,1,0,2,3,0,1,0,2,0,0,0,1,2,0,2,0,1,1,1,1,0
"45","2007-02-15",6,2,0,4,5,1,0,1,0,0,4,1,0,1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,5,0,0
"46","2007-02-16",12,2,3,2,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,2,1,2,0,1,7,1,0,1,0,5,1,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,2
"47","2007-02-17",3,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"48","2007-02-18",8,1,1,4,2,1,0,0,2,2,0,1,1,1,0,1,0,1,2,0,0,0,0,0,4,1,0,0,0,0,1,1,1,1,0,1,0,0,1,2,1,0,0,0,2,0,0,0,2
"49","2007-02-19",8,0,1,3,2,1,0,0,1,0,1,2,0,0,0,3,3,0,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,3,0,0
"50","2007-02-20",10,1,1,9,2,0,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,2,6,0,1,0,0,0,4,0,0,0,0,1,0,1,2,4,2,0,0,0,0,0,0,1
"51","2007-02-21",10,4,2,10,3,3,0,1,1,0,1,1,0,0,1,3,0,0,1,0,3,2,0,0,9,3,3,0,0,1,2,1,0,0,0,1,0,0,1,1,4,0,0,2,4,1,0,0,0
"52","2007-02-22",15,3,3,4,0,2,0,2,2,2,4,1,1,1,2,1,0,1,2,0,2,1,0,0,1,6,3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0
"53","2007-02-23",11,1,3,4,0,1,0,0,2,0,6,3,1,1,2,0,3,3,0,0,4,1,0,0,3,3,1,2,0,0,1,0,1,0,0,0,0,0,1,2,1,0,1,1,2,0,1,1,1
